# SPDX-License-Identifier: GPL-2.0-only
# Source inventory verified byte-identical against Linux v7.1.5; originally generated with Universal Ctags 6.2.1 from e8efe09d4f378992c890d181d65e2ed8d8cb1194.
# source	line	kind	linux_item	rust_item	status	verification
drivers/net/wireless/mediatek/mt76/dma.c	12	function	mt76_alloc_txwi	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.c	38	function	mt76_alloc_rxwi	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.c	51	function	__mt76_get_txwi	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.c	67	function	__mt76_get_rxwi	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.c	83	function	mt76_get_txwi	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.c	94	function	mt76_get_rxwi	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.c	103	prototype	EXPORT_SYMBOL_GPL	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.c	106	function	mt76_put_txwi	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.c	115	prototype	EXPORT_SYMBOL_GPL	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.c	118	function	mt76_put_rxwi	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.c	127	prototype	EXPORT_SYMBOL_GPL	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.c	130	function	mt76_free_pending_txwi	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.c	144	function	mt76_free_pending_rxwi	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.c	156	prototype	EXPORT_SYMBOL_GPL	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.c	159	function	mt76_dma_queue_magic_cnt_init	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.c	190	function	mt76_dma_sync_idx	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.c	208	function	mt76_dma_queue_reset	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.c	235	function	mt76_dma_add_rx_buf	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.c	310	function	mt76_dma_add_buf	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.c	379	function	mt76_dma_tx_cleanup_idx	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.c	400	function	mt76_dma_kick_queue	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.c	410	function	mt76_dma_tx_cleanup	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.c	451	function	mt76_dma_get_rxdmad_c_buf	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.c	494	function	mt76_dma_get_buf	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.c	551	function	mt76_dma_dequeue	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.c	607	function	mt76_dma_tx_queue_skb_raw	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.c	640	function	mt76_dma_tx_queue_skb	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.c	749	function	mt76_dma_rx_fill_buf	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.c	789	function	mt76_dma_rx_fill	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.c	802	function	mt76_dma_alloc_queue	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.c	861	function	mt76_dma_rx_cleanup	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.c	905	function	mt76_dma_rx_reset	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.c	947	function	mt76_add_fragment	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.c	974	function	mt76_dma_rx_process	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.c	1073	function	mt76_dma_rx_poll	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.c	1096	prototype	EXPORT_SYMBOL_GPL	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.c	1099	function	mt76_dma_rx_queue_init	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.c	1108	function	mt76_dma_init	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.c	1148	variable	mt76_dma_ops	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.c	1161	function	mt76_dma_attach	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.c	1165	prototype	EXPORT_SYMBOL_GPL	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.c	1167	function	mt76_dma_cleanup	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.c	1209	prototype	EXPORT_SYMBOL_GPL	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	6	macro	__MT76_DMA_H	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	8	macro	DMA_DUMMY_DATA	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	10	macro	MT_RING_SIZE	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	12	macro	MT_DMA_CTL_SD_LEN1	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	13	macro	MT_DMA_CTL_LAST_SEC1	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	14	macro	MT_DMA_CTL_BURST	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	15	macro	MT_DMA_CTL_SD_LEN0	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	16	macro	MT_DMA_CTL_LAST_SEC0	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	17	macro	MT_DMA_CTL_DMA_DONE	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	18	macro	MT_DMA_CTL_TO_HOST	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	19	macro	MT_DMA_CTL_TO_HOST_A	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	20	macro	MT_DMA_CTL_DROP	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	21	macro	MT_DMA_CTL_TOKEN	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	22	macro	MT_DMA_CTL_SDP1_H	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	23	macro	MT_DMA_CTL_SDP0_H	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	24	macro	MT_DMA_CTL_WO_DROP	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	26	macro	MT_DMA_PPE_CPU_REASON	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	27	macro	MT_DMA_PPE_ENTRY	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	28	macro	MT_DMA_INFO_DMA_FRAG	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	29	macro	MT_DMA_INFO_PPE_VLD	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	31	macro	MT_DMA_CTL_PN_CHK_FAIL	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	32	macro	MT_DMA_CTL_VER_MASK	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	34	macro	MT_DMA_SDP0	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	35	macro	MT_DMA_TOKEN_ID	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	36	macro	MT_DMA_MAGIC_MASK	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	37	macro	MT_DMA_RRO_EN	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	39	macro	MT_DMA_MAGIC_CNT	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	41	macro	MT_DMA_WED_IND_CMD_CNT	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	42	macro	MT_DMA_WED_IND_REASON	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	44	macro	MT_DMA_HDR_LEN	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	45	macro	MT_RX_INFO_LEN	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	46	macro	MT_FCE_INFO_LEN	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	47	macro	MT_RX_RXWI_LEN	-	unmapped	-
drivers/net/wireless/mediatek/mt76/dma.h	51	macro	Q_READ	-	unmapped	-
